Squad,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,# Pl,Age,Poss,Ast,G-PK,PK,PKatt,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Notes,Country
Amiens-17,12,9,17,37,42,-5,45,35.2,55.5,-20.3,-0.53,30,27.5,43.4,20,33,3,4,0.95,0.53,1.47,0.87,1.39,32.2,23.4,55.6,0.93,0.62,1.54,0.85,1.46,Neither,France
Angers -17,9,14,15,42,52,-10,41,45.6,44,1.6,0.04,27,27.1,44.9,23,37,4,4,1.08,0.61,1.68,0.97,1.58,42.6,30.8,73.4,1.2,0.81,2.01,1.12,1.93,Neither,France
Bordeaux -17,16,7,15,53,48,5,55,52.6,40.7,11.9,0.31,31,25.1,50.7,31,48,4,6,1.37,0.82,2.18,1.26,2.08,47.8,36.7,84.5,1.38,0.96,2.35,1.26,2.22,European Spot,France
Caen -17,10,8,20,27,52,-25,38,42.2,48.7,-6.4,-0.17,26,27.3,45.5,19,20,5,8,0.66,0.5,1.16,0.53,1.03,36.3,28,64.3,1.11,0.74,1.85,0.95,1.69,Neither,France
Dijon -17,13,9,16,55,73,-18,48,42.9,69.1,-26.3,-0.69,26,26.6,48.4,28,47,5,5,1.37,0.74,2.11,1.24,1.97,39.1,26.1,65.2,1.13,0.69,1.81,1.03,1.72,Neither,France
Guingamp -17,12,11,15,48,59,-11,47,45.5,53.7,-8.2,-0.22,23,27.2,49.7,23,40,6,7,1.21,0.61,1.82,1.05,1.66,40.5,26,66.4,1.2,0.68,1.88,1.06,1.75,Neither,France
Lille -17,10,8,20,41,67,-26,38,37.6,56.8,-19.1,-0.5,25,22.5,53.5,28,39,2,2,1.08,0.74,1.82,1.03,1.76,36.1,30.4,66.5,0.99,0.8,1.79,0.95,1.75,Neither,France
Lyon -17,23,9,6,87,43,44,78,66.9,39.7,27.2,0.72,26,24.4,55.6,48,79,6,7,2.24,1.26,3.5,2.08,3.34,61.8,45.3,107.1,1.76,1.19,2.95,1.63,2.82,European Spot,France
Marseille -17,22,11,5,80,47,33,77,72.2,41.9,30.4,0.8,26,27.2,58,44,74,5,8,2.08,1.16,3.24,1.95,3.11,66.2,47.4,113.7,1.9,1.25,3.15,1.74,2.99,European Spot,France
Metz -17,6,8,24,34,76,-42,26,37.9,67.1,-29.2,-0.77,36,27.4,45.5,25,30,3,4,0.87,0.66,1.53,0.79,1.45,34.9,27.3,62.3,1,0.72,1.72,0.92,1.64,Relagtion Spot,France
Monaco -17,24,8,6,85,45,40,80,61.5,47,14.5,0.38,32,25.8,50.9,39,76,7,8,2.18,1.03,3.21,2,3.03,55.6,40.2,95.8,1.62,1.06,2.67,1.46,2.52,European Spot,France
Montpellier -17,11,18,9,36,33,3,51,42.4,41.7,0.7,0.02,23,26.4,46.9,26,36,0,2,0.95,0.68,1.63,0.95,1.63,40.9,30.6,71.5,1.12,0.81,1.92,1.08,1.88,Neither,France
Nantes -17,14,10,14,36,41,-5,52,43.2,41.3,1.9,0.05,30,25.6,43.9,18,32,4,5,0.95,0.47,1.42,0.84,1.32,39.4,28.4,67.8,1.14,0.75,1.88,1.04,1.78,Neither,France
Nice -17,15,9,14,53,52,1,54,51.7,48.1,3.6,0.09,31,25,58,29,44,8,10,1.37,0.76,2.13,1.16,1.92,44.3,32.5,76.8,1.36,0.86,2.22,1.17,2.02,Neither,France
Paris S-G -17,29,6,3,108,29,79,93,89.1,32.3,56.9,1.5,26,26.1,66.5,69,93,7,9,2.63,1.82,4.45,2.45,4.26,82.6,65,147.6,2.35,1.71,4.06,2.17,3.89,European Spot,France
Rennes -17,16,10,12,50,44,6,58,49.4,53.5,-4.1,-0.11,28,24.2,50.2,31,42,6,8,1.26,0.82,2.08,1.11,1.92,43.4,32.1,75.5,1.3,0.84,2.14,1.14,1.99,European Spot,France
Saint-Ã‰tienne -17,15,10,13,47,50,-3,55,52.1,51.6,0.6,0.01,30,26.6,51.3,28,38,7,11,1.18,0.74,1.92,1,1.74,44.2,33,77.2,1.37,0.87,2.24,1.16,2.03,Neither,France
Strasbourg -17,9,11,18,44,67,-23,38,45.3,56.1,-10.7,-0.28,25,27.2,49.2,28,36,7,7,1.13,0.74,1.87,0.95,1.68,40,28.2,68.2,1.19,0.74,1.94,1.05,1.8,Neither,France
Toulouse -17,9,10,19,38,54,-16,37,46,53.1,-7.2,-0.19,25,23.9,45.2,24,27,8,11,0.92,0.63,1.55,0.71,1.34,37.8,28.3,66.1,1.21,0.75,1.96,1,1.74,Relagtion Spot,France
Troyes -17,9,6,23,32,59,-27,33,36.6,54.2,-17.6,-0.46,25,26.7,42.6,19,28,2,3,0.79,0.5,1.29,0.74,1.24,34.3,24.6,58.9,0.96,0.65,1.61,0.9,1.55,Relagtion Spot,France
Amiens-18,9,11,18,31,52,-21,38,34.6,46.5,-11.9,-0.31,26,26.5,46.7,22,28,2,3,0.79,0.58,1.37,0.74,1.32,32.3,23.2,55.5,0.91,0.61,1.52,0.85,1.46,European Spot,France
Angers-18,10,16,12,44,49,-5,46,47.7,46.9,0.8,0.02,24,28,43.2,27,37,5,10,1.11,0.71,1.82,0.97,1.68,39.8,29.6,69.4,1.25,0.78,2.03,1.05,1.83,European Spot,France
Bordeaux-18,10,11,17,34,42,-8,41,40.3,53.2,-12.9,-0.34,33,25.3,50.2,26,29,5,6,0.89,0.68,1.58,0.76,1.45,35.7,27.9,63.6,1.06,0.73,1.79,0.94,1.67,European Spot,France
Caen-18,7,12,19,29,54,-25,33,31,57.7,-26.7,-0.7,27,25.8,44.2,17,25,4,4,0.76,0.45,1.21,0.66,1.11,28,18.9,46.9,0.82,0.5,1.31,0.74,1.23,European Spot,France
